order_line_item_id,source,order_id,ordered_quantity,tax_percent,net_sales_before_tax,gross_merchandise_value,sku_id,first_ordered_at,order_date_time_utc,refund_status,rto_status,cancellation_status,order_status,payment_status,billing_address_state,gift_wrap_expense,packaging_expense,handling_expense,shipping_expense,marketplace_expense,payment_gateway_expense,other_adjustments
amazon_0,amazon,amazon_S02-6076326-3555629,1,0.18,0,0,amazon_B0CTMQ4YY7,,34:42.0,FALSE,FALSE,FALSE,,authorized,,0,0,0,0,0,0,0
amazon_35199343715162,amazon,amazon_171-0277077-3545114,1,0.18,677.11865,799,amazon_B0CQM62MKW,05:00.0,35:00.0,FALSE,FALSE,FALSE,fulfilled,paid,KARNATAKA,0,7.5415287,0,32.537636,104.657135,0,0
amazon_35200118728802,amazon,amazon_402-1629699-0281133,1,0.18,0,799,amazon_B0CQM7CT8Z,38:25.0,08:25.0,TRUE,TRUE,FALSE,fulfilled,paid,KARNATAKA,0,7.5415287,0,32.537636,104.657135,0,0
amazon_35200669080042,amazon,amazon_406-0042570-1387567,1,0.18,677.11865,799,amazon_B0CQM6JMBP,08:03.0,38:03.0,FALSE,FALSE,FALSE,fulfilled,paid,TAMIL NADU,0,7.5415287,0,32.537636,104.657135,0,0
amazon_35207982732202,amazon,amazon_171-6560521-8822745,1,0.18,846.61017,999,amazon_B0CQK9T3B6,29:00.0,59:00.0,FALSE,FALSE,FALSE,fulfilled,paid,KARNATAKA,0,9.429271,0,40.682228,130.85416,0,0
amazon_35224380079762,amazon,amazon_402-3354433-6317921,1,0.18,677.11865,799,amazon_B0CQM7CT8Z,38:25.0,41:00.0,FALSE,FALSE,FALSE,fulfilled,paid,KARNATAKA,0,7.5415287,0,32.537636,104.657135,0,0
amazon_35226592293602,amazon,amazon_171-5300782-7282726,1,0.18,677.11865,799,amazon_B0CQM7CT8Z,15:29.0,45:29.0,FALSE,FALSE,FALSE,fulfilled,paid,KARNATAKA,0,7.5415287,0,32.537636,104.657135,0,0
amazon_35226592293642,amazon,amazon_171-5300782-7282726,1,0.18,846.61017,999,amazon_B0CQK7NG2H,15:29.0,45:29.0,FALSE,FALSE,FALSE,fulfilled,paid,KARNATAKA,0,9.429271,0,40.682228,130.85416,0,0
amazon_35263294843522,amazon,amazon_407-8641831-7284313,0,0.18,0,0,amazon_B0CQM62MKW,,19:31.0,FALSE,FALSE,TRUE,,voided,,0,0,0,0,0,0,0
amazon_35264358696562,amazon,amazon_407-0489731-0011545,1,0.18,677.11865,799,amazon_B0CQM62MKW,43:29.0,13:29.0,FALSE,FALSE,FALSE,fulfilled,paid,KARNATAKA,0,7.5415287,0,32.537636,104.657135,0,0
amazon_35266845428882,amazon,amazon_406-4182536-0186719,1,0.18,677.11865,799,amazon_B0CQM7CT8Z,43:02.0,13:02.0,FALSE,FALSE,FALSE,fulfilled,,KARNATAKA,0,7.5415287,0,32.537636,104.657135,0,0
